R,hr,Value1,Value2
3.5,37,-2.92252,2.61288
3.5,38,-3.25376,2.89503
3.5,39,-3.69916,3.27809
3.5,40,-4.15526,3.65835
3.5,41,-4.74401,4.13944
3.5,42,-5.36275,4.62875
3.5,43,-6.13832,5.23644
3.5,44,-7.02754,5.90901
3.5,45,-7.98633,6.60649
3.5,46,-9.17973,7.44907
3.5,47,-10.4215,8.28887
3.5,48,-11.7296,9.14933
3.5,49,-12.8404,9.89054
3.5,50,-13.3289,10.3503
3.6,5,-0.495344,0.431275
3.6,6,-0.494643,0.42807
3.6,7,-0.605393,0.534981
3.6,8,-0.618081,0.548358
3.6,9,-0.629248,0.557201
3.6,10,-0.641519,0.568306
3.6,11,-0.65118,0.578197
3.6,12,-0.66397,0.589525
3.6,13,-0.678657,0.601994
3.6,14,-0.692377,0.614457
3.6,15,-0.708584,0.628595
3.6,16,-0.726572,0.644537
3.6,17,-0.750216,0.663533
3.6,18,-0.770898,0.682193
3.6,19,-0.785891,0.705865
3.6,20,-0.809667,0.729449
3.6,21,-0.846978,0.752196
3.6,22,-0.938942,0.853253
3.6,23,-0.982786,0.888649
3.6,24,-1.034,0.926873
3.6,25,-1.08858,0.979122
3.6,26,-1.1472,1.03121
3.6,27,-1.21164,1.09031
3.6,28,-1.28999,1.16248
3.6,29,-1.3777,1.24244
3.6,30,-1.47673,1.33346
3.6,31,-1.67161,1.51035
3.6,32,-1.80557,1.63563
3.6,33,-1.96617,1.77561
3.6,34,-2.147,1.94026
3.6,35,-2.35905,2.12531
3.6,36,-2.68097,2.41692
3.6,37,-2.96261,2.65999
3.6,38,-3.30206,2.94752
3.6,39,-3.75184,3.33283
3.6,40,-4.20318,3.71318
3.6,41,-4.79549,4.19462
3.6,42,-5.40499,4.67724
3.6,43,-6.1766,5.2847
3.6,44,-7.04027,5.93753
3.6,45,-7.96988,6.61584
3.6,46,-9.1206,7.43201
3.6,47,-10.299,8.23626
3.6,48,-11.5169,9.04922
3.6,49,-12.5037,9.7321
3.6,50,-12.8428,10.1197
3.7,5,-0.480058,0.420128
3.7,6,-0.478289,0.41693
3.7,7,-0.588924,0.523292
3.7,8,-0.60353,0.536934
3.7,9,-0.613431,0.547125
3.7,10,-0.625949,0.558146
3.7,11,-0.637858,0.568131
3.7,12,-0.650759,0.579761
3.7,13,-0.664093,0.591744
3.7,14,-0.678759,0.605138
3.7,15,-0.69464,0.619626
3.7,16,-0.713201,0.636377
3.7,17,-0.73654,0.656683
3.7,18,-0.758079,0.676031
3.7,19,-0.782371,0.697161
3.7,20,-0.807877,0.721919
3.7,21,-0.838138,0.74938
3.7,22,-0.932697,0.852814
3.7,23,-0.97843,0.890307
3.7,24,-1.03082,0.932129
3.7,25,-1.08453,0.981807
3.7,26,-1.151,1.04044
3.7,27,-1.22195,1.10506
3.7,28,-1.29893,1.17758
3.7,29,-1.38622,1.25923
3.7,30,-1.4922,1.35546
3.7,31,-1.69253,1.53735
3.7,32,-1.83075,1.66659
3.7,33,-1.99486,1.81014
3.7,34,-2.18004,1.97913
3.7,35,-2.39607,2.16772
3.7,36,-2.72253,2.46494
3.7,37,-3.012,2.71154
3.7,38,-3.35878,3.0074
3.7,39,-3.79997,3.38591
3.7,40,-4.25092,3.76543
3.7,41,-4.83656,4.24269
3.7,42,-5.44306,4.72394
